doc_id,assignee,year,legal_status,wear,Twist / cord geometry,Graded / dual-modulus,Adhesion / dip system,Core-sheath / wrap,Two-layer / edge-cover,Position vs grooves,Zoned density (center/edge)
EP2806057A2,THE GOODYEAR TIRE & RUBBER CO,2013,ALIVE,False,True,True,True,True,False,False,False
US10315464B2,KORDSA GLOBAL ENDUSTRIVEL IPLIK VE KORD BEZI SANAYI VE TICARET AS,2013,DEAD,False,True,True,True,False,False,False,False
EP2380754A2,THE GOODYEAR TIRE & RUBBER CO,2010,DEAD,True,True,True,True,True,False,False,False
EP2380755A2,THE GOODYEAR TIRE & RUBBER CO,2010,ALIVE,True,True,True,True,True,False,False,False
US20160288573A1,THE GOODYEAR TIRE & RUBBER CO,2015,DEAD,True,True,True,False,False,True,False,False
CA2634069A1,PIRELLI SPA,2005,DEAD,False,False,False,True,False,False,False,False
WO2016024391A1,BRIDGESTONE CORP,2014,DEAD,False,False,True,False,False,True,False,False
CN109070641A,YOKOHAMA RUBBER CO LTD,2016,ALIVE,False,True,False,False,False,False,False,False
KR20170090689A,HYOSUNG CORP,2016,DEAD,False,True,True,True,True,True,False,False
WO2015178366A1,YOKOHAMA RUBBER CO LTD,2014,DEAD,True,True,False,False,False,True,True,False
JP2017186002A,BRIDGESTONE CORP,2016,ALIVE,True,True,True,False,True,True,True,False
JP2017186001A,BRIDGESTONE CORP,2016,ALIVE,False,True,True,False,True,True,True,False
WO2016024390A1,BRIDGESTONE CORP,2014,DEAD,False,False,True,False,False,True,False,False
WO2013117476A1,MICHELIN & CIE,2012,DEAD,False,True,True,True,False,True,False,False
WO2020212886A1,PIRELLI,2019,DEAD,False,True,False,True,False,False,False,False
WO2016067513A1,BRIDGESTONE CORP,2014,DEAD,False,False,True,False,False,True,False,False
KR20080000873A,KUMHO TIRE CO INC,2006,DEAD,False,True,True,True,False,True,False,False
WO2015019214A1,PIRELLI SPA,2013,DEAD,False,True,True,False,False,True,False,False
WO2018051763A1,YOKOHAMA RUBBER CO LTD,2016,DEAD,True,False,True,False,False,False,True,False
KR20170087230A,HYOSUNG CORP,2016,DEAD,False,True,True,True,True,True,False,False
WO2015014574A1,MICHELIN & CIE,2013,DEAD,False,True,False,True,False,True,False,False
US20070181238A1,MICHIELS DANY F,2006,ALIVE,False,True,False,True,False,True,False,False
JP2013001390A,THE GOODYEAR TIRE & RUBBER CO,2011,ALIVE,True,True,False,True,True,True,False,False
CN116323253A,"SUMITOMO RUBBER IND LTD (KOBE-SHI, JP)",2021,ALIVE,False,True,True,False,False,False,False,False
US20110220263A1,MICHIELS DANNY F,2010,DEAD,False,True,False,True,False,True,False,False
KR102836911B1,HS HYOSUNG ADVANCED MAT CORP,2024,ALIVE,False,True,True,True,True,False,False,False
WO2015063977A1,BRIDGESTONE CORP,2013,DEAD,False,False,False,False,False,True,False,False
KR20170092920A,HYOSUNG CORP,2016,DEAD,False,True,True,True,True,True,False,False
WO2017048208A1,KORDSA GLOBAL ENDUSTRIYEL IPLIK VE KORD BEZI SANAYI VE TICARET AS,2015,DEAD,True,True,True,True,False,True,False,True
WO2015063978A1,BRIDGESTONE CORP,2013,DEAD,False,False,False,False,False,True,False,False
JP2020200032A,THE GOODYEAR TIRE & RUBBER CO,2019,ALIVE,True,True,True,False,False,False,False,False
EP1203672A2,SUMITOMO RUBBER IND LTD,2000,DEAD,False,True,True,False,False,True,False,False
CN121002250A,GAOSHENG XIAOXING HIGH TECH MATERIALS CO LTD,2024,ALIVE,False,True,True,True,True,False,False,False
US20230118208A1,YOKOHAMA RUBBER CO LTD,2020,ALIVE,False,True,False,True,False,True,False,False
WO2018004487A1,KORDSA TEKNIK TEKSTIL AS,2016,DEAD,False,True,True,True,False,False,False,False
JP2020185987A,THE GOODYEAR TIRE & RUBBER CO,2019,DEAD,True,True,True,False,False,False,False,False
CN107364286A,SHANDONG FENGYUAN TIRE MFG CO LTD,2017,DEAD,False,False,True,True,False,False,False,False
WO2021124186A1,BRIDGESTONE EUROPE NVSA,2019,DEAD,True,True,False,True,False,False,False,False
FR3030372A1,MICHELIN & CIE,2014,DEAD,False,True,True,True,False,True,False,False
EP0790143A1,SUMITOMO RUBBER IND LTD,1996,DEAD,False,True,True,False,False,True,False,False
WO2016190299A1,YOKOHAMA RUBBER CO LTD,2015,DEAD,False,True,True,True,False,True,True,False
WO2015083780A1,YOKOHAMA RUBBER CO LTD,2013,DEAD,False,True,True,True,False,False,True,False
WO2011112356A1,MILLIKEN & CO,2010,DEAD,False,True,False,True,False,True,False,False
CN120156143A,"SHANDONG FENGYUAN TIRE MFG CO LTD (ZAOZHUANG CITY, CN)",2025,ALIVE,True,True,False,True,False,False,False,False
WO2017188408A1,BRIDGESTONE CORP,2016,DEAD,True,True,True,False,True,False,True,False
WO2014091429A1,PIRELLI SPA,2012,DEAD,True,True,False,True,False,False,False,False
CN115551724A,YOKOHAMA RUBBER CO LTD,2020,ALIVE,False,True,False,True,False,True,True,False
CN1672963A,SUMITOMO RUBBER IND LTD,2004,DEAD,False,True,True,False,False,False,False,False
US20230134167A1,TOYO TIRE CORP,2021,DEAD,False,True,False,True,False,False,False,False
US20040108037A1,BOOZER MATTHEW,2002,DEAD,True,True,True,True,False,False,False,False
WO2003086783A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2002,DEAD,True,True,True,True,False,False,False,False
EP2048005B1,CONTINENTAL REIFEN DEUTSCHLAND,2007,ALIVE,True,False,True,False,False,False,False,False
CN117222532A,"PIRELLI TYRE SPA (MILAN, IT)",2021,ALIVE,False,True,False,True,False,False,False,False
WO2010115860A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2009,DEAD,False,True,False,True,False,False,False,False
US20230123081A1,YOKOHAMA RUBBER CO LTD,2020,ALIVE,False,True,False,True,False,True,False,False
US20200384809A1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2017,DEAD,False,True,True,True,True,False,False,False
WO2007131581A1,CONTINENTAL AG,2006,DEAD,True,False,False,False,False,False,False,False
US20210370721A1,TOYO TIRE CORP,2020,DEAD,False,True,False,True,False,False,False,False
US20110305829A1,CHRISTIAENS SOFIE A,2010,DEAD,False,True,True,True,False,True,False,False
KR19990026654A,KUMHO TIRE CO INC,1997,DEAD,False,True,False,True,False,False,False,False
EP2829419B1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2013,ALIVE,False,True,True,True,False,True,False,False
EP2829420B1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2013,ALIVE,False,True,True,True,False,False,False,False
CN105026187A,"COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN FRANCE CORP (CLERMONT-FERRAND, FR)",2013,DEAD,True,False,False,False,False,False,False,False
CN112867611A,BRIDGESTONE CO LTD,2018,DEAD,False,True,True,True,False,False,False,False
CN103029534A,YOKOHAMA RUBBER CO LTD,2011,DEAD,False,False,True,False,False,False,False,False
WO2005002884A1,PIRELLI SPA,2003,DEAD,True,True,True,False,False,True,False,False
DE60022792T2,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2000,DEAD,False,False,False,False,False,True,False,False
DE102010000013A1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2010,DEAD,True,True,True,True,False,True,False,False
KR102005184B1,HANKOOK TIRE & TECH CO LTD,2018,ALIVE,False,True,True,True,True,False,False,False
DE102014218721A1,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2014,ALIVE,False,True,True,False,False,False,False,False
